path,name,zone_type,role_short,allowed_writes_short,forbidden_writes_short,status,canon_status,artifact_policy,owner_review_required,notes
E:\IMPERIUM\ARCHIVE,ARCHIVE,major_zone,"Archive zone for old, inactive, or legacy materials that should not stay in active root.",Owner-approved archival moves; Archive manifests and rollback notes,Active task outputs without task routing; Secrets without redaction,archive,not_canon,Keep archive evidence pointers in ARTIFACTS by TASK_ID when relevant.,TRUE,No delete policy applies.
E:\IMPERIUM\ARTIFACTS,ARTIFACTS,major_zone,"Primary evidence root for task outputs, proofs, manifests, and final bundles by TASK_ID.",Files under E:\IMPERIUM\ARTIFACTS\<TASK_ID>\...; Index updates by task scope,Raw secrets; Untracked random files; Root-level dumps,active,not_canon,All proofs and bundles must be registered by TASK_ID.,FALSE,"Artifacts are evidence surfaces, not canonical authority."
E:\IMPERIUM\OBSERVED,OBSERVED,major_zone,Read-only historical and observed contour copies for reference analysis.,Only owner-approved observed imports; Read-only mapping notes,Mutation of observed copies; Task output bundles,observed,not_canon,Use ARTIFACTS for proof of analysis performed on observed copies.,TRUE,No deep mutation from root mapping tasks.
E:\IMPERIUM\PC_ENGINEERING_ROOM,PC_ENGINEERING_ROOM,major_zone,"Active engineering headquarters for architecture, reviews, labs, maps, and decision preparation.","Engineering docs, maps, and lab outputs",THRONE writes; Untracked root-level task outputs,active,not_canon,Any task result proof should also be stored under ARTIFACTS\<TASK_ID>\.,FALSE,Engineering room is not admission authority.
E:\IMPERIUM\SSH_COMMAND_LIBRARY,SSH_COMMAND_LIBRARY,major_zone,"Library of SSH route knowledge, diagnostics, tools, and tested recipes.",Route docs and helper scripts; Diagnostics receipts,Private key contents; Raw credentials; Unrelated task bundles,active,not_canon,Route usage evidence must be copied or pointed from ARTIFACTS by TASK_ID.,FALSE,No secrets in route docs.
E:\IMPERIUM\PC_ENGINEERING_ROOM\00_SYSTEM_MAPS,00_SYSTEM_MAPS,system_maps,"System maps, folder maps, address maps, and machine-readable structure maps.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\01_CURRENT_STATE,01_CURRENT_STATE,current_state,"Current working state, active baseline, blocked areas, and current truth snapshot.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\02_ARCHITECTURE_ATLAS,02_ARCHITECTURE_ATLAS,architecture_atlas,"Architecture, contours, organs, authority model, and task/stage/run model.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\03_OWNER_DECISIONS,03_OWNER_DECISIONS,owner_decisions,"Owner decision records: approve, reject, block, rerun, repair, defer.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\04_REVIEW_BENCH,04_REVIEW_BENCH,review_bench,"Review inputs and outputs for Logos and Speculum, including blocker lists.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\05_TEST_LAB,05_TEST_LAB,test_lab,"Smoke tests, fixtures, validators, hardware probe, and resource checks.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\06_ORGANS_WORKSHOP,06_ORGANS_WORKSHOP,organs_workshop,Organ templates and pilot organs before operational use.,Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\07_WORKER_TEMPLATE_LAB,07_WORKER_TEMPLATE_LAB,worker_template_lab,"Worker room templates, VM2 protocol drafts, and stage bundle rules.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\08_LOCAL_LLM_LAB,08_LOCAL_LLM_LAB,local_llm_lab,"Local LLM candidates, resource policy, wrappers, and code-health tasks.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\09_INTERNET_RESEARCH_GATEWAY,09_INTERNET_RESEARCH_GATEWAY,internet_research_gateway,"Controlled internet research, source registry, and no-secrets policy.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\10_RECEIPTS_AND_AUDIT,10_RECEIPTS_AND_AUDIT,receipts_and_audit,Audit records and engineering-room operation receipts.,Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\11_QUARANTINE_NO_DELETE,11_QUARANTINE_NO_DELETE,quarantine_no_delete,"Move-only quarantine planning, rollback notes, and no-delete evidence.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\PC_ENGINEERING_ROOM\99_DASHBOARD,99_DASHBOARD,dashboard,"Plain dashboard data for active tasks, blockers, barriers, and latest verified bundles.",Scoped documents and receipts,Secrets; Out-of-scope binaries,active,not_canon,Task-level proof copy belongs in ARTIFACTS.,FALSE,Subfolder policy follows engineering room boundaries.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\00_CONNECTION_PROFILES,00_CONNECTION_PROFILES,connection_profiles,"Redacted route profiles, aliases, allowed actions, and forbidden actions.","Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\01_SEND_PROMPT_TO_VM,01_SEND_PROMPT_TO_VM,send_prompt_to_vm,Dispatch instructions and future scripts for prompt and task packages.,"Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\02_FETCH_FROM_VM,02_FETCH_FROM_VM,fetch_from_vm,Fetch instructions and future scripts for stage bundles by TASK/STAGE/CONTOUR/RUN.,"Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\03_OPEN_ON_VM,03_OPEN_ON_VM,open_on_vm,Safe manual access commands for remote paths and shell checks.,"Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\04_DIAGNOSTICS,04_DIAGNOSTICS,diagnostics,"SSH alive checks, remote path checks, ls proof, sha256 proof, and permission checks.","Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\05_SUCCESSFUL_RECIPES,05_SUCCESSFUL_RECIPES,successful_recipes,Verified working SSH and SCP recipes only.,"Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS,06_TOOLS,tools,"Reusable SSH and SCP helper scripts, hash helpers, and redaction helpers.","Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651,VM2_ROUTE_BASELINE_20260508_1651,vm2_route_baseline,VM2 route baseline context; proof copies belong in ARTIFACTS.,"Route docs, tools, diagnostics notes",Private keys; Passwords; Raw tokens,active,not_canon,Proof of route execution must be saved in ARTIFACTS task folders.,FALSE,Keep redacted and safe content only.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\00_AGENT_MAP.md,00_AGENT_MAP.md,task_agent_map,Task-local map for agents.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\01_INPUTS,01_INPUTS,task_inputs,Inputs used by the task.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\02_OUTPUTS,02_OUTPUTS,task_outputs,Generated outputs from task execution.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\03_RECEIPTS,03_RECEIPTS,task_receipts,Proof records that task actions happened.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\04_MANIFESTS,04_MANIFESTS,task_manifests,"File lists, folder lists, and bundle manifests.",Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\05_HASHES,05_HASHES,task_hashes,SHA256 and integrity files.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\06_BUNDLES,06_BUNDLES,task_bundles,Stage or intermediate bundles.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\07_REPORTS,07_REPORTS,task_reports,"Technical reports, blocker reports, and verdicts.",Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\08_OWNER_SUMMARY,08_OWNER_SUMMARY,task_owner_summary,Human-facing summary for Owner.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\09_SOURCE_POINTERS,09_SOURCE_POINTERS,task_source_pointers,Original path to new path source pointers.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
E:\IMPERIUM\ARTIFACTS\<TASK_ID>\FINAL_STEP_BUNDLE,FINAL_STEP_BUNDLE,task_final_bundle,Final zip and sha256 for the task.,Task-scoped files only,Secrets; Unrelated files; Files without task relation,active,not_canon,All files must remain inside the matching TASK_ID folder.,FALSE,Standard structure for every task artifact folder.
